Symbol,Name,Stock_Price,Change,Pc_change,High,Low,Volume
GILD,Gilead Sciences Inc,64.31,-0.72,-1.11%,65.26,64.08,6869100
CVX,Chevron Corp,116.66,0.22,0.19%,116.91,116.08,6847400
IRM,Iron Mountain Inc,30.84,0.18,0.59%,30.98,30.5,6732400
NKE,Nike Inc,102.16,1.26,1.25%,102.34,100.82,6722700
SAN,Banco Santander,4.1,0.01,0.24%,4.1,4.03,6670700
CVS,CVS Corp,72.76,0.65,0.90%,72.99,71.63,6662400
EXC,Exelon Corp,46.19,-0.07,-0.15%,46.58,46.12,6653800
ERIC,Ericsson ADR,8.91,0.28,3.24%,8.93,8.76,6640400
TSM,Taiwan Semiconductor Manufacturing,60.06,1.2,2.04%,60.16,59.45,6617300
RF,Regions Financial Corp,16.44,0.09,0.55%,16.45,16.3,6571100
BIDU,Baidu Inc,142.26,-2.25,-1.56%,147.38,141.75,6566500
CZR,Caesars Entertainment Corp,13.61,0.07,0.52%,13.64,13.51,6489000
MOMO,Momo Inc Ads,40.64,3.48,9.36%,40.87,37.6,6469100
NFLX,Netflix Inc,338.92,9.87,3.00%,340.85,331.51,6296100
USB,U.S. Bancorp,56.71,0.04,0.07%,56.78,56.19,6235800
HBI,Hanesbrands Inc,14.14,0.3,2.17%,14.14,13.68,6234200
BKR,Baker Hughes A Ge Co. Cl A,24.41,-0.45,-1.81%,24.83,24.31,6227500
CRM,Salesforce.com Inc,183.85,3.65,2.03%,184.45,181.13,6205300
BP,BP Plc,38.8,0.06,0.15%,38.86,38.46,6130800
TFC,Truist Financial Corp.,56.22,0.26,0.46%,56.23,55.69,6121800
WMT,Wal-Mart Stores,115.88,-0.5,-0.43%,116.55,115.37,6114000
HD,Home Depot,223.34,-0.88,-0.39%,224.51,222.68,6061900
AIG,American International Group,52.62,0.59,1.13%,52.62,51.82,6039400
TCOM,Trip.com Group Ltd,37.65,0.95,2.59%,38,37.01,6015900
HXL,Hexcel Corp,79.89,6.98,9.57%,80.49,78.05,5953000
