Symbol,Name,Stock_Price,Change,Pc_change,High,Low,Volume
PBYI,Puma Biotechnology,7.71,-0.71,-8.43%,8.86,7.62,2640700
SPWH,Sportsman's Wareh,6.35,-0.28,-4.22%,6.73,6.31,2589100
DO,Diamond Offshore Drilling,6.62,-0.01,-0.15%,6.64,6.28,2585800
CVM,Cel-Sci Corp,9.34,1.56,20.05%,9.99,7.85,2494400
TAST,Carrols Rstrnt Group,5.89,-0.9,-13.25%,6.65,5.75,2405900
CHS,Chico's Fas,4.16,-0.02,-0.48%,4.24,4.08,2379800
GCI,Gannett Co. Inc.,6.06,0.25,4.30%,6.09,5.8,2371400
IMGN,Immunogen Inc,4.44,-0.19,-4.10%,4.71,4.35,2370300
CPRX,Catalyst Pharm Inc,4.24,-0.13,-2.97%,4.42,4.17,2301400
GRSH,Gores Holdings III Inc Cl A,10.5,0.09,0.86%,10.67,10.4,2258800
SRCI,Src Energy Inc,4.09,0.1,2.51%,4.09,3.87,2212900
RIGL,Rigel Pharmaceuticals,2.17,0.09,4.33%,2.19,2.05,2139500
CENX,Century Aluminum C,7.29,0.3,4.37%,7.32,6.89,2134600
BTU,Peabody Energy Corp,9.04,0.42,4.87%,9.42,8.53,2132400
FSM,Fortuna Silver Mines,3.67,-0.13,-3.42%,3.81,3.65,2126200
ADVM,Adverum Biotechnlgs,10.59,-0.39,-3.60%,11.53,10.38,2093000
GLUU,Glu Mobile Inc,5.83,0.22,3.92%,5.84,5.57,2073700
EROS,Eros International Plc,3.63,-0.02,-0.55%,3.67,3.48,2069100
WPG,Washington Prime Group Inc,3.59,0.08,2.28%,3.6,3.5,2063000
TXMD,Therapeuticsmd Inc,2.37,0.03,1.28%,2.37,2.25,2057500
AVDL,Avadel Pharmaceuticals Plc,6.97,0.07,1.01%,7.1,6.66,2013400
CYH,Community Health Systems,2.54,0.1,4.10%,2.57,2.32,2011500
DRRX,Durect Corp,2.44,-0.24,-8.96%,2.77,2.4,1995300
SPPI,Spectrum Pharma Inc,3.23,-0.02,-0.62%,3.28,3.16,1932100
FOSL,Fossil Group,7.24,-0.02,-0.28%,7.33,6.88,1918900
INO,Inovio Pharma,3.31,0.2,6.43%,3.45,3.07,1882200
EXK,Endeavour Silver Corp,2.1,-0.05,-2.33%,2.14,2.07,1875300
GTX,Garrett Motion Inc,9.95,0.92,10.19%,10.13,9.37,1873800
EVH,Evolent Health Inc Cl A Com,10.31,0.4,4.04%,10.45,9.81,1854100
PACB,Pacific Biosciences,4.87,0.14,2.96%,4.94,4.71,1832400
LCI,Lannett Co. Inc,8.41,0.17,2.06%,8.51,8.07,1774200
INSG,Inseego Corp,7.57,0.34,4.70%,7.66,7.27,1764300
AXNX,Axonics Modulation Technologies Inc,30.39,-2,-6.16%,32.75,29.01,1751100
RVNC,Revance Therapeutics,21.01,1.51,7.74%,21.07,19.12,1738000
HIMX,Himax Technologies,3.95,0.11,2.86%,4.07,3.84,1701200
VKTX,Viking Thera,7.3,-0.43,-5.56%,7.78,7.25,1670700
TEN,Tenneco Automotive,10.04,-0.04,-0.40%,10.15,9.4,1646700
UXIN,Uxin Ltd Ads,2.84,0.26,10.08%,2.84,2.56,1618000
VFF,Village Farms Intl,5.56,0.16,2.96%,5.65,5.16,1589800
PBI,Pitney Bowes Inc,3.95,0.07,1.80%,4.01,3.85,1579000
ATRS,Antares Pharma,4.43,-0.03,-0.67%,4.59,4.33,1576300
APPS,Digital Turbine,7.48,0.25,3.46%,7.56,7.25,1553000
TRUE,Truecar Inc,4.01,-0.18,-4.30%,4.19,4,1526200
EXPR,Express Inc,4.68,0.02,0.43%,4.78,4.47,1512100
SIEN,Sientra Inc,8.07,-1.15,-12.47%,9.19,7.74,1493600
SGMO,Sangamo Therapeutics,8.28,-0.07,-0.78%,8.36,8.06,1441600
AGEN,Agenus Inc,3.55,0.04,1.14%,3.56,3.31,1439900
RUBI,The Rubicon Project Inc,10.65,0.26,2.50%,10.68,10.4,1431000
TLYS,Tilly's Inc,9.08,-2.6,-22.26%,10.49,8.7,1430500
NR,Newpark Resources,5.57,-0.12,-2.11%,5.68,5.48,1427700
XENT,Intersect Ent Inc,24.47,1.17,5.02%,24.67,22.22,1404600
CDNA,Caredx Inc,22.45,2.64,13.33%,22.5,20.46,1396900
WVE,Wave Life Sci Ord Sh,7.83,-0.68,-7.99%,8.54,7.72,1368600
DLPH,Delphi Technologies Plc,11.2,-0.15,-1.32%,11.33,10.85,1345700
CERS,Cerus Corp,4.31,-0.37,-7.91%,4.82,4.29,1338300
CYTK,Cytokinetics,12.64,0.94,8.03%,12.86,11.57,1330900
WNC,Wabash National Corp,13.73,-0.21,-1.51%,13.8,13.04,1304800
BDSI,Biodelivery Sci Intl,5.68,-0.02,-0.35%,6.03,5.61,1265400
ELF,E.L.F. Beauty Inc,15.39,0.06,0.39%,15.9,15.12,1258000
TNK,Teekay Tankers Ltd,23.59,-0.07,-0.30%,24.05,22.22,1234700
SVM,Silvercorp Metals Inc,5.26,-0.23,-4.19%,5.47,5.26,1229900
JMIA,Jumia Technologies Ag ADR,6.2,0.48,8.39%,6.21,5.79,1210700
